#TYPE System.Management.Automation.PSCustomObject
"quality","level","species"
"RARE","23","Sandyback Crawler"
"RARE","1","Darkmoon Cub"
"RARE","1","Tottle"
"RARE","1","Enchanted Lantern"
"UNCOMMON","1","Blue Mini Jouster"
"RARE","23","Parched Lizard"
"RARE","1","Doom Bloom"
"RARE","1","Eye of Corruption"
"COMMON","23","Leatherhide Runt"
"UNCOMMON","1","Spring Rabbit"
"RARE","1","Mystical Spring Bouquet"
"RARE","23","Fawn"
"POOR","23","Blighthawk"
"RARE","1","Court Scribe"
"UNCOMMON","7","Lofty Libram"
"RARE","7","Lofty Libram"
"RARE","1","Enchanted Pen"
